id,child_id,date,subject,type,score,max_score,stamp,memo,photo_uri,photo_rotation,created_at,user_id
cd493ea4-da9c-45cd-b00b-79774af160eb,dde8fdf3-5bd3-4705-ae82-a0718a3d9b4c,2026-01-29,国語,テスト,,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/b4d31cf6-6591-4f70-b96f-0971f5a6f7d3/1769648130862.jpg,0,2026-01-29 00:55:31.29974+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
cf477c6a-2987-43ce-9a88-192d49db28b1,,2026-01-26,国語,テスト,,100,大変よくできました,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/34787f85-b2fe-4398-95e4-52d6eb07d039/1769421956781.jpg,0,2026-01-26 10:05:55.172347+00,34787f85-b2fe-4398-95e4-52d6eb07d039
d0effef9-6fec-4cf6-baff-f3c1614f9230,,2026-01-27,英語,テスト,,100,大変よくできました,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/34787f85-b2fe-4398-95e4-52d6eb07d039/1769475587292.jpg,90,2026-01-27 00:59:47.821241+00,34787f85-b2fe-4398-95e4-52d6eb07d039
d5a0c215-0b70-4072-a036-a60fa8af4667,,2026-01-26,国語,テスト,,100,大変よくできました,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/afe6e902-b818-4d23-a43b-e8156c6b43cf/1769406674450.jpg,0,2026-01-26 05:51:13.743595+00,afe6e902-b818-4d23-a43b-e8156c6b43cf
e6482a6c-1860-44ec-816e-9a767d693be4,dde8fdf3-5bd3-4705-ae82-a0718a3d9b4c,2026-01-28,国語,テスト,90,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/b4d31cf6-6591-4f70-b96f-0971f5a6f7d3/1769583845050.jpg,0,2026-01-28 06:43:28.319+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
e6cb689c-7573-4175-90b2-8a885c549a81,dde8fdf3-5bd3-4705-ae82-a0718a3d9b4c,2025-12-04,英語,テスト,79,100,,,,0,2026-01-28 09:00:44.83977+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
e83eebbd-9d76-4691-874b-844603b323ea,,2026-01-27,国語,テスト,83,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/34787f85-b2fe-4398-95e4-52d6eb07d039/1769476960421.jpg,0,2026-01-27 00:25:27.252636+00,34787f85-b2fe-4398-95e4-52d6eb07d039
eb8a9da0-db8d-4452-b97b-83b18521e39b,7bbe0f24-4de9-4394-887f-cbaa167b6345,2026-01-27,国語,テスト,,100,大変よくできました,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/99eb34f5-9e04-4c46-963f-a86bad24967d/1769489239155.jpg,90,2026-01-27 04:47:20.149679+00,99eb34f5-9e04-4c46-963f-a86bad24967d
efb695f0-9670-481d-be5c-6932e561994a,dde8fdf3-5bd3-4705-ae82-a0718a3d9b4c,2026-01-29,国語,テスト,80,100,,,,0,2026-01-29 00:55:22.939003+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
f15d22c7-4b0e-4fd8-81ce-55ee9626e689,,2026-01-27,国語,テスト,90,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/b4d31cf6-6591-4f70-b96f-0971f5a6f7d3/1769557786765.jpg,270,2026-01-27 23:49:47.274291+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
f4f3fba6-6a68-4743-8b2d-209adba34639,,2026-01-26,国語,テスト,,100,大変よくできました,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/34787f85-b2fe-4398-95e4-52d6eb07d039/1769421902954.jpg,0,2026-01-26 10:05:03.669969+00,34787f85-b2fe-4398-95e4-52d6eb07d039
